ID;Operation Type;Operation Date;Result;Valid;ECU ID;ECU;VIN;VAN;PIC;Archetype ID;tipo;Station Zone;Station;Plant;err_description;error_code;ecu_data_package_version;error_code;AN;VP;VCB;PAIS;GAMMA;CABINA;POWER;AXLES;TIPO AXLE;VERSION;TIPO VERSION;WHEELBASE;SUSPENSION;TIPO SUSPENSION;HANDRIVE;GEARBOX;MT;040 TWIN;RT;BRAKES;FDP;0;1;2;3;5;6;OK
12777866;ECU_COMPONENT_TEST;12/05/2020 21:06;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C430696;V11747643;AA8AA4D1000595;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3051;Madrid;7;;;;11747643;AA8AA4D1000595;AA8AA4D1;ITALY;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;;;;;;;1
12777895;ECU_COMPONENT_TEST;12/05/2020 21:07;OK;1 OK;471;MULTIPLEXER BCM_HIMUX CONTINENTAL;WJMA62AP30C430238;V11751274;QA3B17DA000003;5802109393;EVO DIESEL;MADRID - ATS SENSOR TEST;EOL-3031;Madrid;7;;;;11751274;QA3B17DA000003;QA3B17DA;UNITED KINGDOM;Q;AD-EV;360 C9;4X2;1;CABINAT;3;4500;P;1;DX;12TX 1810 TD;18-20T;NO ADD;SR;DIS-DIS;B24C;;;;;;;1
12778069;ECU_COMPONENT_TEST;12/05/2020 21:36;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C430757;V11759912;AA8AA4D1000669;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3031;Madrid;7;;;;11759912;AA8AA4D1000669;AA8AA4D1;SPAIN;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;;;;;;;1
12778103;ECU_COMPONENT_TEST;12/05/2020 21:40;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C430757;V11759912;AA8AA4D1000669;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3031;Madrid;1;;;;11759912;AA8AA4D1000669;AA8AA4D1;SPAIN;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;;1;;;;;
12778117;ECU_COMPONENT_TEST;12/05/2020 21:38;OK;1 OK;471;MULTIPLEXER BCM_HIMUX CONTINENTAL;WJME62RS60C430762;V11760133;QK5B1WD1000004;5802109393;EVO DIESEL;MADRID - ATS SENSOR TEST;EOL-3051;Madrid;7;;;;11760133;QK5B1WD1000004;QK5B1WD1;SPAIN;Q;AD-EV;420 C11;6X2P;2;CABINAT;3;5700;P;1;SX;12TX 2010 TD;26;SING;SR;DIS-DIS;B36Y;;;;;;;1
12778177;ECU_COMPONENT_TEST;12/05/2020 21:41;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C430757;V11759912;AA8AA4D1000669;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3031;Madrid;7;;;;11759912;AA8AA4D1000669;AA8AA4D1;SPAIN;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;;;;;;;1
12778387;ECU_COMPONENT_TEST;12/05/2020 22:05;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C430863;V11758526;AA8AA4D1000656;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3033;Madrid;7;;;;11758526;AA8AA4D1000656;AA8AA4D1;ITALY;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;;;;;;;1
12778424;ECU_COMPONENT_TEST;12/05/2020 22:07;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C430717;V11751726;AA8AA3D1000110;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3051;Madrid;6;;;;11751726;AA8AA3D1000110;AA8AA3D1;TURKEY;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3650;P;1;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;;;;;;1;
12778475;ECU_COMPONENT_TEST;12/05/2020 22:10;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C430717;V11751726;AA8AA3D1000110;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3051;Madrid;7;;;;11751726;AA8AA3D1000110;AA8AA3D1;TURKEY;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3650;P;1;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;;;;;;;1
12778691;ECU_COMPONENT_TEST;12/05/2020 22:28;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZLC430560;V11732753;CA4AA3D1000291;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3031;Madrid;7;;;;11732753;CA4AA3D1000291;CA4AA3D1;POLAND;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;;;;;;1
12779038;ECU_COMPONENT_TEST;13/05/2020 6:25;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZLC430459;V11740884;CA4AA3D1000389;5802713014;S-WAY NP;MADRID - REVISIONE 410;EOL-4166;Madrid;7;;;;11740884;CA4AA3D1000389;CA4AA3D1;POLAND;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;;;;;;1
12779143;ECU_COMPONENT_TEST;13/05/2020 6:31;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZ0C430593;V11744166;CA4AA3D1000376;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3034;Madrid;7;;;;11744166;CA4AA3D1000376;CA4AA3D1;ITALY;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;;;;;;1
12779283;ECU_COMPONENT_TEST;13/05/2020 6:29;OK;1 OK;471;MULTIPLEXER BCM_HIMUX CONTINENTAL;WJMM62AW2LC430594;V11747890;WHBB24D1000723;5802109393;EVO DIESEL;MADRID - ATS SENSOR TEST;EOL-3051;Madrid;7;;;;11747890;WHBB24D1000723;WHBB24D1;ISRAELE;W;AS-EV;570 C13;4X2;1;TRATTOR;1;3800;P;1;SX;TX-12M;18-20T;NO ADD;SR;DIS-DIS;A54T;;;;;;;1
12779692;ECU_COMPONENT_TEST;13/05/2020 7:20;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZ0C430570;V11735025;CA4AA3D1000310;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3034;Madrid;0;;;;11735025;CA4AA3D1000310;CA4AA3D1;ITALY;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;1;;;;;;
12779796;ECU_COMPONENT_TEST;13/05/2020 7:21;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZ0C430570;V11735025;CA4AA3D1000310;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3034;Madrid;7;;;;11735025;CA4AA3D1000310;CA4AA3D1;ITALY;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;;;;;;1
